# dataset_id: P089_EVT_CHILECOMPRA_2007_2026
# data_architect: Eduardo Vega Toledo (evega.ap@gmail.com)
# requested_by: Valentina Cariaga Cerda
# project: P089 - Catastro Cambio Climatico Chile
archivo_origen;tipo_registro;mecanismo_compra;codigo_proceso;link;nombre;descripcion;organismo_comprador;unidad_compra;rut_comprador;sector;region_comprador;fecha;monto_pesos;moneda;proveedor;rut_proveedor;eje_codigo;eje_nombre;subcategoria;termino_coincidente;texto_fragmento;nivel_institucional
2026-4.csv;orden_compra;Trato Directo (Excepcional);857-41-SE26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=857-41-SE26;"Contratación ""DOS (2) EQUIPOS  FORTIGATE 200G CONFIGURADOS EN HA";"Solicitud N°201 Contratación ""DOS (2) EQUIPOS  FORTIGATE 200G CONFIGURADOS EN HA,  DESDE 857-1-LE26. REX N°721-2026 Aprueba Contrato. EL DTE:-Debe ser enviado a la casilla electrónica senadisrecepcion@custodium.com-Debe mencionar correctamente la orden de compra en el campo 801.-Debe mencionar correctamente la dirección Catedral N°1575, SantiagoJustificación selección de cotización menos económica: En los Términos de referencia se exigía adjuntar certificaciones ISO y de EficienciaEnergética.";SERVICIO NACIONAL DE LA DISCAPACIDAD;Servicio Nacional de la Discapacidad;72.576.700-5;Gob. Central, Universidades;Región Metropolitana de Santiago;2026-02-25;30153640,86;CLP;NETICS SPA;1402063;P089_CAMBIO_CLIMATICO;Cambio Climático;Transicion_SBN;EficienciaEnergética;...xigía adjuntar certificaciones ISO y de Eficiencia   Energética. Equipo de seguridad de red de firewall...;Gobierno Central y Servicios Públicos
2026-4.csv;orden_compra;Trato Directo (Excepcional);1171317-11-SE26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1171317-11-SE26;ORDEN DE COMPRA DESDE 1171317-5-LE25;ELABORACIÓN PLAN DE ACCIÓN COMUNAL DE CAMBIO CLIMÁTICO PARA LA ILUSTRE MUNICIPALIDAD DE CHILLÁN;I MUNICIPALIDAD DE CHILLAN;SECPLA;69.140.900-7;Municipalidades;Región del Ñuble;2026-03-18;1,8e+07;CLP;Energy To Business SPA;1387573;P089_CAMBIO_CLIMATICO;Cambio Climático;Nucleo_Exacto;CAMBIO CLIMÁTICO;...5 ELABORACIÓN PLAN DE ACCIÓN COMUNAL DE CAMBIO CLIMÁTICO PARA LA ILUSTRE MUNICIPALIDAD DE CHILLÁ...;Municipalidades (Gobiernos Locales)
2026-4.csv;orden_compra;Trato Directo (Excepcional);2408-235-SE26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2408-235-SE26;CONSULTORÍA PLAN DE ACCIÓN COMUNAL DE CAMBIO CLIMÁTICO PACCC COMUNA DE LOS ÁNGELES 2026 - 2030 DESDE 2408-25-LE26;CONSULTORÍA PLAN DE ACCIÓN COMUNAL DE CAMBIO CLIMÁTICO PACCC COMUNA DE LOS ÁNGELES 2026 - 2030 DESDE 2408-25-LE26;I MUNICIPALIDAD DE LOS ANGELES;IMUNI_LOSANGELES ADQUISICIONES;69.170.100-K;Municipalidades;Región del Biobío;2026-03-30;17669200;CLP;FUNDACIÓN DE CIENCIA Y DESARROLLO INTERGEOGRAPHIC;1910341;P089_CAMBIO_CLIMATICO;Cambio Climático;Nucleo_Exacto;CAMBIO CLIMÁTICO;...CONSULTORÍA PLAN DE ACCIÓN COMUNAL DE CAMBIO CLIMÁTICO PACCC COMUNA DE LOS ÁNGELES 2026 - 2030...;Municipalidades (Gobiernos Locales)
2026-4.csv;orden_compra;Compra Ágil (< 30 UTM);2346-53-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2346-53-AG26;UNIFORMES SOSTENIBILIDAD Y ACCION CAMBIO CLIMATICO;Orden de Compra codigo: 2346-53-AG26 dirigida a RM STORE SPA;I MUNICIPALIDAD DE PUNTA ARENAS;ALCALDIA;69.250.200-0;Municipalidades;Región de Magallanes y de la Antártica;2026-03-30;1200942,05;CLP;RM STORE SPA;1852996;P089_CAMBIO_CLIMATICO;Cambio Climático;Nucleo_Exacto;CAMBIO CLIMATICO;...UNIFORMES SOSTENIBILIDAD Y ACCION CAMBIO CLIMATICO Orden de Compra codigo: 2346-53-AG26 di...;Municipalidades (Gobiernos Locales)
2026-4.csv;orden_compra;Compra Ágil (< 30 UTM);1469-646-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1469-646-AG26;20-40692 Orden de Compra generada por invitación a compra ágil: 1469-717-COT26;Persona contacto de la compra Ernesto Santibañez Número telefónico  56712203802 Email esantibanez@utalca.clFavor ingresar en factura el código de proyecto Conferencia BP H2VAraucanía, CÓDIGO 24BP-269O85Dirección de Despacho/Servicio: Luis Durand 2150, Temuco. INACAPProveedor favor acpetar la OC en el portal mercado publico.;UNIVERSIDAD DE TALCA;Universidad de Talca;70.885.500-6;Gob. Central, Universidades;Región del Maule;2026-04-02;297500;CLP;MARIA ALEJANDRA;1624953;P089_CAMBIO_CLIMATICO;Cambio Climático;Transicion_SBN;H2V;...ra el código de proyecto Conferencia BP H2V   Araucanía, CÓDIGO 24BP-269O85   Direc...;Universidades y Academia
2026-4.csv;orden_compra;Compra Ágil (< 30 UTM);758-243-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=758-243-AG26;SC 23621 CURSO GESTIÓN TERRITORIAL DEL RIESGO Y CAMBIO CLIMATICO, IDENTIFICACIÓN DE ESTRATEGIAS DE GOBERNANZA;SC 23621 de fecha 13-03-2026OC 27399Proviene de compra ágil 758-116-COT26Sr. Proveedor acepte OC en el portal y revise documentos adjuntos al momento de facturar.  Enviar factura a: dipresrecepcion@custodium.comJustificación selección de cotización menos económica: Los productos o servicios cotizados cumplen de mejor manera con los requisitos técnicos solicitados.;SERVICIO NACIONAL DE PREVENCIÓN Y RESPUESTA ANTE DESASTRES;COMPRAS NORMALES;60.509.001-k;Gob. Central, Universidades;Región Metropolitana de Santiago;2026-04-02;1360000;CLP;ORGANIZACION Y CAMBIO CAPACITACION LIMITADA;64751;P089_CAMBIO_CLIMATICO;Cambio Climático;Nucleo_Exacto;CAMBIO CLIMATICO;... CURSO GESTIÓN TERRITORIAL DEL RIESGO Y CAMBIO CLIMATICO, IDENTIFICACIÓN DE ESTRATEGIAS DE GOBER...;Gobierno Central y Servicios Públicos
2026-4.csv;orden_compra;Compra Ágil (< 30 UTM);1658-871-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1658-871-AG26;Orden de Compra generada por invitación a compra ágil: 1658-341-COT26;"Orden de Compra código: 1658-871-AG26 dirigida a SERVICIOS INTEGRALES LIMITADA. S183-26/MEDIO AMBIENTE ASEO Y ORNATO/DEPTO. MEDIO AMBIENTE/ADQ. DE BOTELLAS PARA DIFUSION PROGRAMA CAMBIO CLIMATICO, ENERGIA Y CALIDAD DEL AIRE. CONTACTO PATRICIO FIGUEROA. FONO 452973459. ENTREGA LOS NOGALES S/N PUNTO LIMPIO. "" Sr. proveedor, en su factura indicar el N°3065 de OC Contable Municipal, de lo contrario su factura será rechazada";I MUNICIPALIDAD DE TEMUCO;I MUNICIPALIDAD DE TEMUCO;69.190.700-7;Municipalidades;Región de la Araucanía;2026-04-06;2618000;CLP;SERVICIOS INTEGRALES LIMITADA;1986054;P089_CAMBIO_CLIMATICO;Cambio Climático;Nucleo_Exacto;CAMBIO CLIMATICO;...ADQ. DE BOTELLAS PARA DIFUSION PROGRAMA CAMBIO CLIMATICO, ENERGIA Y CALIDAD DEL AIRE. CONTACTO P...;Municipalidades (Gobiernos Locales)
2026-4.csv;orden_compra;Trato Directo (Excepcional);633-158-SE26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=633-158-SE26;SIC N°1803 - SIC REFUNDIDO N°1477 - CONSULTORÍA DE DESARROLLO DE PROYECTOS PARA BASE DE BRIGADA TIPO - CÁLCULO ESTRUCTURAL Y CLIMATIZACIÓN Y EFICIENCIA ENERGÉTICA - DEPARTAMENTO DE LOGÍSTICA DE LA GEPRIF.-;SIC N°1803 - SIC REFUNDIDO N°1477 - CONSULTORÍA DE DESARROLLO DE PROYECTOS PARA BASE DE BRIGADA TIPO - CÁLCULO ESTRUCTURAL Y CLIMATIZACIÓN Y EFICIENCIA ENERGÉTICA - DEPARTAMENTO DE LOGÍSTICA DE LA GEPRIF.-FORMA DE PAGO: CUOTAS MENSUALES, DE ACUERDO AL SERVICIO CONTRATADO, FACTURACIÓN POR MES VENCIDO.VALOR DE CADA PROYECTO DE $2.195.000.- VALOR TOTAL NETO DE $4.390.000.- TOTAL DE $5.224.100.-EL PROVEEDOR DEBE ACEPTAR LA ORDEN DE COMPRA EN EL PORTAL.FACTURACIÓN: LA PRESENTE OC. DEBE INDICARSE EN EL CAMPO DESCRIPCIÓN DE LA FACTURA. EMITIR FACTURA A: windte_@custodium.com;CORP NACIONAL FORESTAL;Conaf - Oficina Central - Abastecimiento;61.313.000-4;Gob. Central, Universidades;Región Metropolitana de Santiago;2026-04-07;5224100;CLP;GreenBIM7D;1489620;P089_CAMBIO_CLIMATICO;Cambio Climático;Transicion_SBN;EFICIENCIA ENERGÉTICA;...- CÁLCULO ESTRUCTURAL Y CLIMATIZACIÓN Y EFICIENCIA ENERGÉTICA - DEPARTAMENTO DE LOGÍSTICA DE LA GEPRI...;Gobierno Central y Servicios Públicos
2026-4.csv;orden_compra;Compra Ágil (< 30 UTM);2069-3203-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2069-3203-AG26;CNG-CE-042026-CURSO EFICIENCIA ENERGETICA Y RECICLAJE-LEY 18.834;Orden de Compra codigo: 2069-3203-AG26 dirigida a ORGANIZACION Y CAMBIO CAPACITACION LIMITADAJustificación selección de cotización menos económica: Los productos o servicios cotizados cumplen de mejor manera con los requisitos técnicos solicitados.;SERVICIO DE SALUD METROPOLITANO SUR HOSP;HOSPITAL BARROS LUCO TRUDEAU;61.608.101-2;Salud;Región Metropolitana de Santiago;2026-04-07;1689990;CLP;ORGANIZACION Y CAMBIO CAPACITACION LIMITADA;64751;P089_CAMBIO_CLIMATICO;Cambio Climático;Transicion_SBN;EFICIENCIA ENERGETICA;... CNG-CE-042026-CURSO EFICIENCIA ENERGETICA Y RECICLAJE-LEY 18.834 Orden de Compra ...;Sector Salud
2026-4.csv;orden_compra;Trato Directo (Excepcional);1090-27-SE26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1090-27-SE26;CUIDADOR MENOR;SIC 1121/2026SIRE 1223/2026Cuidado de menor de dos años, SEBASTIAN CASTRO ACEVEDO en el domicilio de la madre, PAULA ACEVEDO ZAPATA, funcionaria del Departamento Bosques y Cambio Climático, ésto con el fin de resguardar su salud y seguir con los cuidados instruidos por el médico  tratante.VALOR MENSUAL $ 466.760.-Desde 1090-58-COT25;CORP NACIONAL FORESTAL;VII  Región - Oficina Regional del Maule;61.313.000-4;Gob. Central, Universidades;Región del Maule;2026-04-09;933520;CLP;VALENTINA RUTH AVACA DRECKMANN;2007690;P089_CAMBIO_CLIMATICO;Cambio Climático;Nucleo_Exacto;Cambio Climático;... funcionaria del Departamento Bosques y Cambio Climático, ésto con el fin de resguardar su salud...;Gobierno Central y Servicios Públicos
